Pos,Team,Points,year,Year
2,Tyrrell Ford,51.0,1972.0,
3,McLaren,47.0,1972.0,
4,Ferrari,33.0,1972.0,
5,Surtees Ford,18.0,1972.0,
6,March Ford,15.0,1972.0,
7,Brm,14.0,1972.0,
8,Matra,12.0,1972.0,
9,Brabham Ford,7.0,1972.0,
1,Lotus,92.0,1973.0,
2,Tyrrell Ford,82.0,1973.0,
3,McLaren,58.0,1973.0,
4,Brabham Ford,22.0,1973.0,
5,March Ford,14.0,1973.0,
6,Ferrari,12.0,1973.0,
7,Brm,12.0,1973.0,
8,Shadow Ford,9.0,1973.0,
9,Surtees Ford,7.0,1973.0,
10,Iso Marlboro Ford,2.0,1973.0,
11,Tecno,1.0,1973.0,
1,McLaren,73.0,1974.0,
2,Ferrari,65.0,1974.0,
3,Tyrrell Ford,52.0,1974.0,
4,Lotus,42.0,1974.0,
5,Brabham Ford,35.0,1974.0,
6,Hesketh Ford,15.0,1974.0,
7,Brm,10.0,1974.0,
8,Shadow Ford,7.0,1974.0,
9,March Ford,6.0,1974.0,
10,Iso Marlboro Ford,4.0,1974.0,
11,Surtees Ford,3.0,1974.0,
12,Lola Ford,1.0,1974.0,
1,Ferrari,72.5,1975.0,
2,Brabham Ford,54.0,1975.0,
3,McLaren,53.0,1975.0,
4,Hesketh Ford,33.0,1975.0,
5,Tyrrell Ford,25.0,1975.0,
6,Shadow Ford,9.5,1975.0,
7,Lotus,9.0,1975.0,
8,March Ford,7.5,1975.0,
9,Frank Williams Racing Cars/Williams,6.0,1975.0,
10,Parnelli Ford,5.0,1975.0,
11,Hill Ford,3.0,1975.0,
12,Penske Ford,2.0,1975.0,
13,Ensign Ford,1.0,1975.0,
1,Ferrari,83.0,1976.0,
2,McLaren,74.0,1976.0,
3,Tyrrell Ford,71.0,1976.0,
4,Lotus,29.0,1976.0,
5,Penske Ford,20.0,1976.0,
6,Ligier Matra,20.0,1976.0,
7,March Ford,19.0,1976.0,
8,Shadow Ford,10.0,1976.0,
9,Brabham Alfa Romeo,9.0,1976.0,
10,Surtees Ford,7.0,1976.0,
11,Fittipaldi Ford,3.0,1976.0,
12,Ensign Ford,2.0,1976.0,
13,Parnelli Ford,1.0,1976.0,
1,Ferrari,95.0,1977.0,
2,Lotus,62.0,1977.0,
3,McLaren,60.0,1977.0,
4,Wolf Ford,55.0,1977.0,
5,Brabham Alfa Romeo,27.0,1977.0,
6,Tyrrell Ford,27.0,1977.0,
7,Shadow Ford,23.0,1977.0,
8,Ligier Matra,18.0,1977.0,
9,Fittipaldi Ford,11.0,1977.0,
10,Ensign Ford,10.0,1977.0,
11,Surtees Ford,6.0,1977.0,
12,Penske Ford,1.0,1977.0,
1,Lotus,86.0,1978.0,
2,Ferrari,58.0,1978.0,
3,Brabham Alfa Romeo,53.0,1978.0,
4,Tyrrell Ford,38.0,1978.0,
5,Wolf Ford,24.0,1978.0,
6,Ligier Matra,19.0,1978.0,
7,Fittipaldi Ford,17.0,1978.0,
8,McLaren,15.0,1978.0,
9,Williams,11.0,1978.0,
10,Arrows Ford,11.0,1978.0,
11,Shadow Ford,6.0,1978.0,
12,Renault,3.0,1978.0,
13,Surtees Ford,1.0,1978.0,
14,Ensign Ford,1.0,1978.0,
1,Ferrari,113.0,1979.0,
2,Williams,75.0,1979.0,
3,Ligier Ford,61.0,1979.0,
4,Lotus,39.0,1979.0,
5,Tyrrell Ford,28.0,1979.0,
6,Renault,26.0,1979.0,
7,McLaren,15.0,1979.0,
8,Brabham Ford,7.0,1979.0,
9,Arrows Ford,5.0,1979.0,
10,Shadow Ford,3.0,1979.0,
11,Ats Ford,2.0,1979.0,
12,Fittipaldi Ford,1.0,1979.0,
1,Williams,120.0,1980.0,
2,Ligier Ford,66.0,1980.0,
3,Brabham Ford,55.0,1980.0,
4,Renault,38.0,1980.0,
5,Lotus,14.0,1980.0,
6,Tyrrell Ford,12.0,1980.0,
7,Arrows Ford,11.0,1980.0,
8,Fittipaldi Ford,11.0,1980.0,
9,McLaren,11.0,1980.0,
10,Ferrari,8.0,1980.0,
11,Alfa Romeo,4.0,1980.0,
1,Williams,95.0,1981.0,
2,Brabham Ford,61.0,1981.0,
3,Renault,54.0,1981.0,
4,Ligier Matra,44.0,1981.0,
5,Ferrari,34.0,1981.0,
6,McLaren,28.0,1981.0,
7,Lotus,22.0,1981.0,
8,Arrows Ford,10.0,1981.0,
9,Alfa Romeo,10.0,1981.0,
10,Tyrrell Ford,10.0,1981.0,
11,Ensign Ford,5.0,1981.0,
12,Theodore Ford,1.0,1981.0,
13,Ats Ford,1.0,1981.0,
1,Ferrari,74.0,1982.0,
2,McLaren,69.0,1982.0,
3,Renault,62.0,1982.0,
4,Williams,58.0,1982.0,
5,Lotus,30.0,1982.0,
6,Tyrrell Ford,25.0,1982.0,
7,Brabham Bmw,22.0,1982.0,
8,Ligier Matra,20.0,1982.0,
9,Brabham Ford,19.0,1982.0,
10,Alfa Romeo,7.0,1982.0,
11,Arrows Ford,5.0,1982.0,
12,Ats Ford,4.0,1982.0,
13,Osella Ford,3.0,1982.0,
14,Fittipaldi Ford,1.0,1982.0,
1,Ferrari,89.0,1983.0,
2,Renault,79.0,1983.0,
3,Brabham Bmw,72.0,1983.0,
4,Williams,36.0,1983.0,
5,McLaren,34.0,1983.0,
6,Alfa Romeo,18.0,1983.0,
7,Tyrrell Ford,12.0,1983.0,
8,Lotus Renault,11.0,1983.0,
9,Toleman Hart,10.0,1983.0,
10,Arrows Ford,4.0,1983.0,
11,Williams,2.0,1983.0,
12,Theodore Ford,1.0,1983.0,
13,Lotus,1.0,1983.0,
1,McLaren,143.5,1984.0,
2,Ferrari,57.5,1984.0,
3,Lotus Renault,47.0,1984.0,
4,Brabham Bmw,38.0,1984.0,
5,Renault,34.0,1984.0,
6,Williams,25.5,1984.0,
7,Toleman Hart,16.0,1984.0,
8,Alfa Romeo,11.0,1984.0,
9,Arrows Bmw,3.0,1984.0,
10,Ligier Renault,3.0,1984.0,
11,Arrows Ford,3.0,1984.0,
12,Osella Alfa Romeo,2.0,1984.0,
1,McLaren,90.0,1985.0,
2,Ferrari,82.0,1985.0,
3,Lotus Renault,71.0,1985.0,
4,Williams,71.0,1985.0,
5,Brabham Bmw,26.0,1985.0,
6,Ligier Renault,23.0,1985.0,
7,Renault,16.0,1985.0,
8,Arrows Bmw,14.0,1985.0,
9,Tyrrell Ford,4.0,1985.0,
10,Tyrrell Renault,3.0,1985.0,
1,Williams,141.0,1986.0,
2,McLaren,96.0,1986.0,
3,Lotus Renault,58.0,1986.0,
4,Ferrari,37.0,1986.0,
5,Ligier Renault,29.0,1986.0,
6,Benetton,19.0,1986.0,
7,Tyrrell Renault,11.0,1986.0,
8,Lola Ford,6.0,1986.0,
9,Brabham Bmw,2.0,1986.0,
10,Arrows Bmw,1.0,1986.0,
1,Williams,137.0,1987.0,
2,McLaren,76.0,1987.0,
3,Lotus,64.0,1987.0,
4,Ferrari,53.0,1987.0,
5,Benetton,28.0,1987.0,
6,Tyrrell Ford,11.0,1987.0,
7,Arrows Megatron,11.0,1987.0,
8,Brabham Bmw,10.0,1987.0,
9,Lola Ford,3.0,1987.0,
10,Zakspeed,2.0,1987.0,
11,March Ford,1.0,1987.0,
12,Ligier Megatron,1.0,1987.0,
13,Ags Ford,1.0,1987.0,
1,McLaren,199.0,1988.0,
2,Ferrari,65.0,1988.0,
3,Benetton,39.0,1988.0,
4,Arrows Megatron,23.0,1988.0,
5,Lotus,23.0,1988.0,
6,March Judd,22.0,1988.0,
7,Williams Judd,20.0,1988.0,
8,Tyrrell Ford,5.0,1988.0,
9,Rial Ford,3.0,1988.0,
10,Minardi,1.0,1988.0,
1,McLaren,141.0,1989.0,
2,Williams,77.0,1989.0,
3,Ferrari,59.0,1989.0,
4,Benetton,39.0,1989.0,
5,Tyrrell Ford,16.0,1989.0,
6,Lotus,15.0,1989.0,
7,Arrows Ford,13.0,1989.0,
8,Dallara Ford,8.0,1989.0,
9,Brabham Judd,8.0,1989.0,
10,Onyx Ford,6.0,1989.0,
11,Minardi,6.0,1989.0,
12,March Judd,4.0,1989.0,
13,Rial Ford,3.0,1989.0,
14,Ligier Ford,3.0,1989.0,
15,Ags Ford,1.0,1989.0,
16,Lola Lamborghini,1.0,1989.0,
1,McLaren,121.0,1990.0,
2,Ferrari,110.0,1990.0,
3,Benetton,71.0,1990.0,
4,Williams,57.0,1990.0,
5,Tyrrell Ford,16.0,1990.0,
6,Lola Lamborghini,11.0,1990.0,
7,Leyton House Judd,7.0,1990.0,
8,Lotus,3.0,1990.0,
9,Arrows Ford,2.0,1990.0,
10,Brabham Judd,2.0,1990.0,
1,McLaren,139.0,1991.0,
2,Williams,125.0,1991.0,
3,Ferrari,55.5,1991.0,
4,Benetton,38.5,1991.0,
5,Jordan Ford,13.0,1991.0,
6,Tyrrell Honda,12.0,1991.0,
7,Ferrari,6.0,1991.0,
8,Dallara Judd,5.0,1991.0,
9,Lotus,3.0,1991.0,
10,Brabham Yamaha,3.0,1991.0,
11,Lola Ford,2.0,1991.0,
12,Leyton House Ilmor,1.0,1991.0,
1,Williams,164.0,1992.0,
2,McLaren,99.0,1992.0,
3,Benetton,91.0,1992.0,
4,Ferrari,21.0,1992.0,
5,Lotus,13.0,1992.0,
6,Tyrrell Ilmor,8.0,1992.0,
7,Footwork Mugen Honda,6.0,1992.0,
8,Ligier Renault,6.0,1992.0,
9,March Ilmor,3.0,1992.0,
10,Ferrari,2.0,1992.0,
11,Jordan Yamaha,1.0,1992.0,
12,Minardi,1.0,1992.0,
13,Venturi Lamborghini,1.0,1992.0,
1,Williams,168.0,1993.0,
2,McLaren,84.0,1993.0,
3,Benetton,72.0,1993.0,
4,Ferrari,28.0,1993.0,
5,Ligier Renault,23.0,1993.0,
6,Lotus,12.0,1993.0,
7,Alfa Romeo,12.0,1993.0,
8,Minardi,7.0,1993.0,
9,Footwork Mugen Honda,4.0,1993.0,
10,Larrousse Lamborghini,3.0,1993.0,
11,Jordan Hart,3.0,1993.0,
1,Williams,118.0,1994.0,
2,Benetton,103.0,1994.0,
3,Ferrari,71.0,1994.0,
4,McLaren,42.0,1994.0,
5,Jordan Hart,28.0,1994.0,
6,Ligier Renault,13.0,1994.0,
7,Tyrrell Yamaha,13.0,1994.0,
8,Alfa Romeo,12.0,1994.0,
9,Footwork Ford,9.0,1994.0,
10,Minardi,5.0,1994.0,
11,Larrousse Ford,2.0,1994.0,
1,Benetton,137.0,1995.0,
2,Williams,112.0,1995.0,
3,Ferrari,73.0,1995.0,
4,McLaren,30.0,1995.0,
5,Ligier Mugen Honda,24.0,1995.0,
6,Jordan Peugeot,21.0,1995.0,
7,Sauber Ford,18.0,1995.0,
8,Footwork Hart,5.0,1995.0,
9,Tyrrell Yamaha,5.0,1995.0,
10,Minardi,1.0,1995.0,
1,Williams,175.0,1996.0,
2,Ferrari,70.0,1996.0,
3,Benetton,68.0,1996.0,
4,McLaren,49.0,1996.0,
5,Jordan Peugeot,22.0,1996.0,
6,Ligier Mugen Honda,15.0,1996.0,
7,Sauber Ford,11.0,1996.0,
8,Tyrrell Yamaha,5.0,1996.0,
9,Footwork Hart,1.0,1996.0,
1,Williams,123.0,1997.0,
2,Ferrari,102.0,1997.0,
3,Benetton,67.0,1997.0,
4,McLaren,63.0,1997.0,
5,Jordan Peugeot,33.0,1997.0,
6,Prost,21.0,1997.0,
7,Alfa Romeo,16.0,1997.0,
8,Arrows Yamaha,9.0,1997.0,
9,Stewart Ford,6.0,1997.0,
10,Tyrrell Ford,2.0,1997.0,
1,McLaren,156.0,1998.0,
2,Ferrari,133.0,1998.0,
3,Williams,38.0,1998.0,
4,Jordan Mugen Honda,34.0,1998.0,
5,Benetton,33.0,1998.0,
6,Alfa Romeo,10.0,1998.0,
7,Arrows,6.0,1998.0,
8,Stewart Ford,5.0,1998.0,
9,Prost,1.0,1998.0,
1,Ferrari,128.0,1999.0,
2,McLaren,124.0,1999.0,
3,Jordan Mugen Honda,61.0,1999.0,
4,Stewart Ford,36.0,1999.0,
5,Williams,35.0,1999.0,
6,Benetton,16.0,1999.0,
7,Prost,9.0,1999.0,
8,Alfa Romeo,5.0,1999.0,
9,Minardi,1.0,1999.0,
10,Arrows,1.0,1999.0,
1,Ferrari,170.0,2000.0,
2,McLaren,152.0,2000.0,
3,Williams,36.0,2000.0,
4,Benetton,20.0,2000.0,
5,Bar Honda,20.0,2000.0,
6,Jordan Mugen Honda,17.0,2000.0,
7,Arrows Supertec,7.0,2000.0,
8,Alfa Romeo,6.0,2000.0,
9,Jaguar,4.0,2000.0,
1,Ferrari,179.0,2001.0,
2,McLaren,102.0,2001.0,
3,Williams,80.0,2001.0,
4,Alfa Romeo,21.0,2001.0,
5,Jordan Honda,19.0,2001.0,
6,Bar Honda,17.0,2001.0,
7,Benetton,10.0,2001.0,
8,Jaguar,9.0,2001.0,
9,Prost,4.0,2001.0,
10,Arrows Asiatech,1.0,2001.0,
1,Ferrari,221.0,2002.0,
2,Williams,92.0,2002.0,
3,McLaren,65.0,2002.0,
4,Renault,23.0,2002.0,
5,Alfa Romeo,11.0,2002.0,
6,Jordan Honda,9.0,2002.0,
7,Jaguar,8.0,2002.0,
8,Bar Honda,7.0,2002.0,
9,Minardi,2.0,2002.0,
10,Toyota,2.0,2002.0,
11,Arrows Cosworth,2.0,2002.0,
1,Ferrari,158.0,2003.0,
2,Williams,144.0,2003.0,
3,McLaren,142.0,2003.0,
4,Renault,88.0,2003.0,
5,Bar Honda,26.0,2003.0,
6,Alfa Romeo,19.0,2003.0,
7,Jaguar,18.0,2003.0,
8,Toyota,16.0,2003.0,
9,Jordan Ford,13.0,2003.0,
10,Minardi,0.0,2003.0,
1,Ferrari,262.0,2004.0,
2,Bar Honda,119.0,2004.0,
3,Renault,105.0,2004.0,
4,Williams,88.0,2004.0,
5,McLaren,69.0,2004.0,
6,Alfa Romeo,34.0,2004.0,
7,Jaguar,10.0,2004.0,
8,Toyota,9.0,2004.0,
9,Jordan Ford,5.0,2004.0,
10,Minardi,1.0,2004.0,
1,Renault,191.0,2005.0,
2,McLaren,182.0,2005.0,
3,Ferrari,100.0,2005.0,
4,Toyota,88.0,2005.0,
5,Williams,66.0,2005.0,
6,Bar Honda,38.0,2005.0,
7,Red Bull,34.0,2005.0,
8,Alfa Romeo,20.0,2005.0,
9,Toyota,12.0,2005.0,
10,Minardi,7.0,2005.0,
1,Renault,206.0,2006.0,
2,Ferrari,201.0,2006.0,
3,McLaren,110.0,2006.0,
4,Honda,86.0,2006.0,
5,Alfa Romeo,36.0,2006.0,
6,Toyota,35.0,2006.0,
7,Red Bull,16.0,2006.0,
8,Williams,11.0,2006.0,
9,Str Cosworth,1.0,2006.0,
10,Toyota,0.0,2006.0,
11,Super Aguri,0.0,2006.0,
1,Ferrari,204.0,2007.0,
2,Alfa Romeo,101.0,2007.0,
3,Renault,51.0,2007.0,
4,Williams,33.0,2007.0,
5,Red Bull,24.0,2007.0,
6,Toyota,13.0,2007.0,
7,Str Ferrari,8.0,2007.0,
8,Honda,6.0,2007.0,
9,Super Aguri,4.0,2007.0,
10,Spyker,1.0,2007.0,
EX,McLaren,0.0,2007.0,
1,Ferrari,172.0,2008.0,
2,McLaren,151.0,2008.0,
3,Alfa Romeo,135.0,2008.0,
4,Renault,80.0,2008.0,
5,Toyota,56.0,2008.0,
6,Str Ferrari,39.0,2008.0,
7,Red Bull,29.0,2008.0,
8,Williams,26.0,2008.0,
9,Honda,14.0,2008.0,
10,Force India,0.0,2008.0,
11,Super Aguri,0.0,2008.0,
1,Mercedes,172.0,2009.0,
2,Rbr Renault,153.5,2009.0,
3,McLaren,71.0,2009.0,
4,Ferrari,70.0,2009.0,
5,Toyota,59.5,2009.0,
6,Alfa Romeo,36.0,2009.0,
7,Williams,34.5,2009.0,
8,Renault,26.0,2009.0,
9,Force India,13.0,2009.0,
10,Str Ferrari,8.0,2009.0,
1,Rbr Renault,498.0,2010.0,
2,McLaren,454.0,2010.0,
3,Ferrari,396.0,2010.0,
4,Mercedes,214.0,2010.0,
5,Renault,163.0,2010.0,
6,Williams,69.0,2010.0,
7,Force India,68.0,2010.0,
8,Ferrari,44.0,2010.0,
9,Str Ferrari,13.0,2010.0,
10,Lotus,0.0,2010.0,
11,HRT,0.0,2010.0,
12,Virgin,0.0,2010.0,
1,Red Bull,650.0,2011.0,
2,McLaren,497.0,2011.0,
3,Ferrari,375.0,2011.0,
4,Mercedes,165.0,2011.0,
5,Renault,73.0,2011.0,
6,Force India,69.0,2011.0,
7,Ferrari,44.0,2011.0,
8,Str Ferrari,41.0,2011.0,
9,Williams,5.0,2011.0,
10,Lotus Renault,0.0,2011.0,
11,HRT,0.0,2011.0,
12,Virgin,0.0,2011.0,
1,Red Bull,460.0,2012.0,
2,Ferrari,400.0,2012.0,
3,McLaren,378.0,2012.0,
4,Lotus Renault,303.0,2012.0,
5,Mercedes,142.0,2012.0,
6,Ferrari,126.0,2012.0,
7,Force India,109.0,2012.0,
8,Williams,76.0,2012.0,
9,Str Ferrari,26.0,2012.0,
10,Caterham,0.0,2012.0,
11,Virgin,0.0,2012.0,
12,HRT,0.0,2012.0,
1,Red Bull,596.0,2013.0,
2,Mercedes,360.0,2013.0,
3,Ferrari,354.0,2013.0,
4,Lotus Renault,315.0,2013.0,
5,McLaren,122.0,2013.0,
6,Force India,77.0,2013.0,
7,Ferrari,57.0,2013.0,
8,Str Ferrari,33.0,2013.0,
9,Williams,5.0,2013.0,
10,Virgin,0.0,2013.0,
11,Caterham,0.0,2013.0,
1,Mercedes,701.0,2014.0,
2,Red Bull,405.0,2014.0,
3,Williams,320.0,2014.0,
4,Ferrari,216.0,2014.0,
5,McLaren,181.0,2014.0,
6,Force India,155.0,2014.0,
7,Str Renault,30.0,2014.0,
8,Lotus Renault,10.0,2014.0,
9,Virgin,2.0,2014.0,
10,Ferrari,0.0,2014.0,
11,Caterham,0.0,2014.0,
1,Mercedes,703.0,2015.0,
2,Ferrari,428.0,2015.0,
3,Williams,257.0,2015.0,
4,Red Bull,187.0,2015.0,
5,Force India,136.0,2015.0,
6,Lotus,78.0,2015.0,
7,Str Renault,67.0,2015.0,
8,Ferrari,36.0,2015.0,
9,McLaren,27.0,2015.0,
10,Virgin,0.0,2015.0,
1,Mercedes,765.0,2016.0,
2,Red Bull,468.0,2016.0,
3,Ferrari,398.0,2016.0,
4,Force India,173.0,2016.0,
5,Williams,138.0,2016.0,
6,McLaren,76.0,2016.0,
7,Toro Rosso,63.0,2016.0,
8,Haas,29.0,2016.0,
9,Renault,8.0,2016.0,
10,Ferrari,2.0,2016.0,
11,Mrt Mercedes,1.0,2016.0,
1,Mercedes,668.0,2017.0,
2,Ferrari,522.0,2017.0,
3,Red Bull,368.0,2017.0,
4,Force India,187.0,2017.0,
5,Williams,83.0,2017.0,
6,Renault,57.0,2017.0,
7,Toro Rosso,53.0,2017.0,
8,Haas,47.0,2017.0,
9,McLaren,30.0,2017.0,
10,Ferrari,5.0,2017.0,
1,Mercedes,655.0,2018.0,
2,Ferrari,571.0,2018.0,
3,Red Bull,419.0,2018.0,
4,Renault,122.0,2018.0,
5,Haas,93.0,2018.0,
6,McLaren,62.0,2018.0,
7,Force India,52.0,2018.0,
8,Ferrari,48.0,2018.0,
9,Toro Rosso,33.0,2018.0,
10,Williams,7.0,2018.0,
EX,Force India,0.0,2018.0,
1,Mercedes,739.0,2019.0,
2,Ferrari,504.0,2019.0,
3,Red Bull,417.0,2019.0,
4,McLaren,145.0,2019.0,
5,Renault,91.0,2019.0,
6,Toro Rosso,85.0,2019.0,
7,Racing Point,73.0,2019.0,
8,Alfa Romeo,57.0,2019.0,
9,Haas,28.0,2019.0,
10,Williams,1.0,2019.0,
1,Mercedes,573.0,2020.0,
2,Red Bull,319.0,2020.0,
3,McLaren,202.0,2020.0,
4,Racing Point,195.0,2020.0,
5,Renault,181.0,2020.0,
6,Ferrari,131.0,2020.0,
7,AlphaTauri,107.0,2020.0,
8,Alfa Romeo,8.0,2020.0,
9,Haas,3.0,2020.0,
10,Williams,0.0,2020.0,
1,Mercedes,613.5,2021.0,
2,Red Bull,585.5,2021.0,
3,Ferrari,323.5,2021.0,
4,McLaren,275.0,2021.0,
5,Alpine,155.0,2021.0,
6,AlphaTauri,142.0,2021.0,
7,Aston Martin,77.0,2021.0,
8,Williams,23.0,2021.0,
9,Alfa Romeo,13.0,2021.0,
10,Haas,0.0,2021.0,
1,Red Bull,759.0,2022.0,
2,Ferrari,554.0,2022.0,
3,Mercedes,515.0,2022.0,
4,Alpine,173.0,2022.0,
5,McLaren,159.0,2022.0,
6,Ferrari,55.0,2022.0,
7,Aston Martin,55.0,2022.0,
8,Haas,37.0,2022.0,
9,AlphaTauri,35.0,2022.0,
10,Williams,8.0,2022.0,
1,Red Bull,860.0,2023.0,
2,Mercedes,409.0,2023.0,
3,Ferrari,406.0,2023.0,
4,McLaren,302.0,2023.0,
5,Aston Martin,280.0,2023.0,
6,Alpine,120.0,2023.0,
7,Williams,28.0,2023.0,
8,AlphaTauri,25.0,2023.0,
9,Ferrari,16.0,2023.0,
10,Haas,12.0,2023.0,
1,Red Bull,276.0,2024.0,
2,Ferrari,252.0,2024.0,
3,McLaren,184.0,2024.0,
4,Mercedes,96.0,2024.0,
5,Aston Martin,44.0,2024.0,
6,RB,24.0,2024.0,
7,Haas,7.0,2024.0,
8,Williams,2.0,2024.0,
9,Alpine,2.0,2024.0,
10,Ferrari,0.0,2024.0,
1,McLaren,666.0,,2024.0
2,Ferrari,652.0,,2024.0
3,Red Bull,589.0,,2024.0
4,Mercedes,468.0,,2024.0
5,Aston Martin,94.0,,2024.0
6,Alpine,65.0,,2024.0
7,Haas,58.0,,2024.0
8,RB (Racing Bulls),42.0,,2024.0
9,Williams,17.0,,2024.0
10,Sauber,4.0,,2024.0
